|Unnamed: 0|Unnamed: 0.1|id|type|date|abstract|title|kind|num_claims|withdrawn|aia
2079|4242326|4679952|8192482|utility|2012-06-05|A stent is provided comprising a plurality of hoops aligned along a common axis, wherein each of the hoops is oriented in a plane substantially perpendicular to the longitudinal axis of the stent. Each of the hoops includes a plurality of elongate elements joined to one another and forming apices that point in a direction along the axis of the stent. The stent also comprises means for securing an apex of one hoop to a juxtaposed apex of a neighboring hoop.|Endoluminal stent|B2|35|0.0|1
3429|1666664|2104290|5602831|utility|1997-02-11| Packets are transmitted in different block sizes according to the speed of motion of the receiver. The packet block size is selected to minimize the effects of burst errors that occur at the receiver. The burst errors are disbursed between all packets in the packet block by interleaving the packets together prior to transmission. The receiver then deinterleaves the packets into their original format disbursing burst errors between all packets in the packet block. Since each packet will only contain a small proportion of the burst error, standard ECC schemes can be used to correct for bit errors in each packet increasing the probability that all packets will be transmitted successfully. |Optimizing packet size to eliminate effects of reception nulls|A|17|0.0|1
5836|4487672|4925298|8439009|utility|2013-05-14|A system for an engine includes an engine block having a cylinder, an oil delivery system including an oil reservoir at least partially enclosing an oil emulsion and providing lubricating oil to at least one cylinder, and a controller configured to adjust the heat delivered to the engine via a heat adjustment mechanism in response to a concentration of water in the oil emulsion.|Water reduction mechanism for an internal combustion engine|B2|19|0.0|0
2108|2500271|2937897|6443494|utility|2002-09-03|An optical security article has a substrate with printed information and an optical security coating adhered to the substrate over the printed information. The security coating contains engraved optical elements which cannot be readily duplicated. The coating has adhesive characteristics whereby it is temporarily adhered to the substrate to resist accidental removal or peeling off, while permitting the coating to be scratched or scraped off to reveal the underlying information.|Removable optical security film placed on printed surfaces and/or products containing such film|B1|10|0.0|1
2055|2307921|2745547|6250465|utility|2001-06-26| A sharps container for receiving and storing medical sharps and waste materials which prevents hand access to within the container and has a wide access opening. The container (10) comprises a receptacle (11) having an opening which is closable toy a hinged lid (24) which is movable between opened and closed positions. A pivotal tray (16) is mounted at the opening wherein for the opened position of the lid (24) the tray (16) has a rest position at which it is accessible for medical sharps and waste materials to be placed thereon. The tray (16) is then pivotally moveable for disposal of the medical sharps and waste materials therefrom into the receptacle. The tray (16) is arranged such that as it pivots a front edge thereof moves towards the opened lid (24), and a rear edge (23) thereof moves closely adjacent a guard (35), wherein the rear edge (23) clears the guard (35) for disposal of medical sharps and waste materials into the receptacle from the tray (16) when the front edge of the tray is proximate the lid (24), thereby preventing hand access to within the receptacle (11) for all positions of the tray (16) about its pivotal axis. The tray (16) is biased to return to its rest position. The lid (24) and tray (16) are operatively associated such that as the lid is opened from a closed position, the tray (16) is moved from a storage position within the receptacle (11) to its rest position. The tray (16) is foldable to facilitate its storage within the receptacle (11) upon closing the lid (24). |Sharps container|A|30|0.0|1
9155|21870|5128939|8643732|utility|2014-02-04|An image blur compensation device detects the shake of an apparatus and compensates image blur by means of a mechanism for rotating an image sensor about an axis perpendicular to the imaging plane of the image sensor. A rotary member for holding the image sensor is rotatably held by a base member. The rotary member and the base member are urged by a tension spring in a direction closer to each other, and a ball provided between the rotary member and the base member rotatably supports the rotary member in a state where the ball abuts against both the rotary member and the base member. The ball is arranged within a ball-receiving groove formed in the base member. The ball is brought into abutment against the abutment surface provided on the rotary member by an urging force of a tension spring.|Image blur compensation device and imaging apparatus|B2|9|0.0|0
1209|2270196|2707822|6212633|utility|2001-04-03| A distributed firewall is utilized in conjunction with a memory-mapped serial communications interface such as that defined by the IEEE 1394 specification to permit secure data transmission between selected nodes over the interface. The distributed firewall incorporates security managers in the selected nodes that are respectively configured to control access to their associated nodes, thereby restricting access to such nodes to only authorized entities. Furthermore, encrypted transmissions may be supported to restrict unauthorized viewing of data transmitted between the selected nodes over the interface. Implementation of the distributed firewall does not modify any critical specifications for the memory-mapped communications interface that would prevent the selected nodes from residing on the same interface as other nodes that adhere to such specifications but that do not support secure data transmission. |Secure data communication over a memory-mapped serial communications interface utilizing a distributed firewall|A|36|0.0|1
258|2103847|2541473|6045811|utility|2000-04-04| A delivery system for an oral care substance includes a strip of material having a yield point and thickness such that the strip of material substantially conforms to a shape of a tooth and its adjoining soft tissue via permanent deformation under a pressure less than about 250,000 Pascals when the delivery system is placed thereagainst. The delivery system also includes an oral care substance applied to the strip of material such that when the delivery system is placed on a surface of the tooth and its adjoining soft tissue, the substance contacts the surface providing an active onto the surface. The substance also provides adhesive attachment between the strip of material and the surface to hold the delivery system in place for a sufficient time to allow the active to act upon the surface. The substance has an extrusion resistance sufficient to withstand a normal force applied to deform the strip of material so that the substance is not substantially extruded from between the strip of material and the surface during manual deformation of the strip of material. A method of delivery includes pre-coating the strip of material, having the wearer apply substance to the strip of material, or having the wearer apply the substance directly to the surface before applying a strip of material. |Delivery system for an oral care substance using a permanently deformable strip of material|A|13|0.0|1
8769|13766|5120835|8635583|utility|2014-01-21|A standard cell library is disclosed. The standard cell library contains cells wherein at least one transistor in at least one cell is annotated for gate length biasing. Gate length biasing includes the modification of the gate length, so as to change the speed or power consumption of the modified gate length. The standard cell library is one used in the manufacturing of semiconductor devices (e.g., that result as semiconductor chips), by way of fabricating features defined on one or more layouts of geometric shapes. The annotations serve to identify which ones of the transistor gate features are to be modified before using the geometric shapes for manufacturing the semiconductor device.|Standard cells having transistors annotated for gate-length biasing|B2|16|0.0|1
4737|981687|1419313|4913194|utility|1990-04-03| A lightweight frame slat for use in a heddle frame assembly. Each of said slats comprises an upper hollow portion and a heddle bar support portion integral with and extending from the hollow elongated portion. The hollow portion is made up of a vertically extending back portion and a vertical front portion so that when the front portion is in place three longitudinal cavities are formed. Adjacent each of the edge of the hollow elongated upper portion is disposed elongated stiffening bars of a carbon fiber reinforced stiffening element. The intermediate cavity between the edge cavities is filled with a strip of ridged foam to add structural stability to the slat without greatly increasing its weight. Extending from, and integral with the back portion of the slat is a heddle bar support portion which has extending from it near its bottom edge two horizontal ledges which define a heddle bar support channel. Each of the ledges has on their adjacent surfaces a longitudinally extending ridge for locking the support rib of a heddle bar in place with an interference fit. Each of the locking ridges taper inwardly of the channel towards the bottom thereof to permit easy entry of the supporting rib of the heddle bar while restricting its withdrawal therefrom without preventing its removal from the slat. |Light weight heddle frame assembly slat|A|14|0.0|0
3000|3141905|3579531|7087397|utility|2006-08-08|A multilayer test strip and method of using the test strip for determining concentration of HDL cholesterol in a whole blood sample. The inventive test strip includes a two-stage blood separation mechanism, including a first glass fiber matrix which separates most of the blood cells and an adjacent, second matrix preferably also containing glass fibers that separates the remainder of the blood cells. The second layer also precipates and retains non-HDL cholesterol, thereby providing plasma that is substantially free of red blood cells and substantially free of non-HDL cholesterol to a reaction layer. Precipitation and retention on non-HDLs takes place by a vertical or dead-end filtration in a single layer. The reaction layer produces a color, the intensity of which is proportional to the concentration of HDL cholesterol in the blood sample which is applied to the test strip. Advantageously, the inventive test strip is a vertical flow device, which can be made more compact and operates more efficiently than a lateral flow device.|Method for determining HDL concentration from whole blood or plasma|B2|20|0.0|1
5114|4577551|5015177|8529352|utility|2013-09-10|A game system includes at least one image output device and a game apparatus. The image output device is connected to a display device via wiring. The game apparatus is capable of wirelessly communicating with the image output device and is connected via wiring to another display device different from the display device connected to the image output device. The game apparatus performs a game process and generates an image based on the game process. The generated image is displayed on the display device connected to the game apparatus. The generated image is also transmitted to the image output device. The image output device receives the image transmitted by the game apparatus. The image output device outputs the received image to the display device on which the image is displayed.|Game system|B2|23|0.0|0
485|3627960|4065586|7575748|utility|2009-08-18|The application concerns methods of treatment using anti-ErbB receptor antibody-maytansinoid conjugates, and articles of manufacture suitable for use in such methods. In particular, the invention concerns ErbB receptor-directed cancer therapies, using anti-ErbB receptor antibody-maytansinoid conjugates.|Methods of treatment using anti-ErbB antibody-maytansinoid conjugates|B1|27|0.0|1
7432|1258519|1696145|5191197|utility|1993-03-02| A hands-free scanning system for reading indicia having parts of different light reflectivity, including a housing having a window and an actuatable electro-optical scanner in the housing for projecting a light beam through the window to indicia to be read, for scanning the indicia. The system further detects light of variable intensity that is reflected off the indicia to generate an electrical signal representative of the indicia. The housing is mounted on an arm of an operator and the scanner initiates reading of the indicia upon movement of the operator's hand relative to the arm by means of an actuator switch. |Arm mounted scanner actuatable by hand movement|A|39|0.0|0
9184|619087|5726156|9244562|utility|2016-01-26|A force-sensitive touch sensor detects location and force of touches applied to the sensor. Movement of an object touching the force-sensitive touch sensor correlates to movement of a pointer on a display device. Varying levels of force applied to the force-sensitive touch sensor are interpreted as different commands. Objects displayed on the display device can be manipulated by a combination of gestures across a surface of the force-sensitive touch sensor and changes in force applied to the force-sensitive touch sensor.|Gestures and touches on force-sensitive input devices|B1|55|0.0|0
10675|178704|6346403|9868985|utility|2018-01-16|This invention provides methods for attaching a nucleic acid to a solid surface and for sequencing nucleic acid by detecting the identity of each nucleotide analog after the nucleotide analog is incorporated into a growing strand of DNA in a polymerase reaction. The invention also provides nucleotide analogs which comprise unique labels attached to the nucleotide analog through a cleavable linker, and a cleavable chemical group to cap the —OH group at the 3′-position of the deoxyribose.|Massive parallel method for decoding DNA and RNA|B2|2|0.0|1
391|3996465|4434091|7945699|utility|2011-05-17|A Network Interface device (NI device) coupled to a host computer receives a multi-packet message from a network (for example, the Internet) and DMAs the data portions of the various packets directly into a destination in application memory on the host computer. The address of the destination is determined by supplying a first part of the first packet to an application program such that the application program returns the address of the destination. The address is supplied by the host computer to the NI device so that the NI device can DMA the data portions of the various packets directly into the destination. In some embodiments the NI device is an expansion card added to the host computer, whereas in other embodiments the NI device is a part of the host computer.|Obtaining a destination address so that a network interface device can write network data without headers directly into host memory|B2|20|0.0|1
6967|225872|663498|4156362|utility|1979-05-29| A portable measuring device to provide a readout representing an equivalent windchill temperature or heat loss from exposed flesh in cold moving air. The device comprises a body having a channel through which moving air is conducted. A pair of oppositely disposed walls are part of the channel, and at least one of these walls is at least partially transparent. A windvane is disposed in the channel for deflection by the air moving through it. The windvane is supported from the body of the measuring device for pivotal movement. A thermometer is also supported from said body, and has graduations thereon to provide a measurement of the air temperature. Chart means are also provided on the body visible through one of said walls. First, second and third series of markings are on the chart means. At least a portion of the first markings is in alignment with the graduations of the thermometer. A portion of an other of the series of markings is oriented to be in alignment with the windvane upon deflection thereof. The one and other series of markings are arranged to provide an intersection thereof readable against the remaining markings, thereby to yield from the latter said readout, selectively, of the windchill temperature and heat loss. The body is preferably tubular in cross-section with the chart means being formed as printed matter on an interior face of at least one of the partially transparent walls, and has separate support means for mounting both the windvane in the channel and the thermometer immediately adjacent the latter. |Windchill indicator|A|10|0.0|0
2592|4523982|4961608|8475510|utility|2013-07-02|Disclosed are embodiments of airflow applicators used for delivering directional, heated air to, for example, the scalp and hair of humans and/or animals to eliminate ectoparasites, such as lice and lice eggs. In preferred embodiments, the applicators are configured to deliver heated airflow (from a separate device, or from another portion of a single device, that generates heated airflow) efficiently right to where ectoparasites and their eggs most frequently reside. Also disclosed are treatment methods, including preferred treatment patterns, for delivering heated airflows for use in eliminating ectoparasites and their eggs on an animal.|Airflow applicators and related treatment methods|B2|20|0.0|1
3811|4585437|5023063|8537271|utility|2013-09-17|A camera shutter mechanism for covering and exposing an imaging sensor array is disclosed. The camera shutter mechanism includes a rotary motor, a crank mechanism, a cover, a guide, and a drive circuit. The rotary motor is coupled to the crank mechanism to rotate the crank mechanism about a central axis. The cover is coupled to the crank mechanism at a point away from the central axis. The drive circuit controls the rotary motor so that the cover moves back and forth repeatedly in a substantially linear motion along the guide between a shutter closed position and a shutter open position over the imaging sensor array. Other embodiments are also described and claimed.|Mechanical camera shutter mechanism|B2|20|0.0|0
10654|1293895|6998841|D765624|design|2016-09-06||Mobile phone|S1|1|0.0|0
2673|3355965|3793591|7302423|utility|2007-11-27|Sort-on-the-Fly/Search-on-the-Fly data retrieval or analysis provides an intuitive mechanisms for accessing databases, allowing a user to access or obtain information about data in the database without having to know anything about the database structure. A user selects a desired term, and the method or apparatus delivers all instances of the desired term, even if a specific file or table does not contain the instance. The database need not have a specific file (in a flat database) or a table (in a relational database) of names. The user may specify other criteria, or constraints to narrow the search results, or for other reasons. The method or apparatus then conducts further analysis or searching using this criteria and produces a second result. Further narrowing or broadening of the process is permitted, with search-on-the-fly returning results based on any new constraints. If the returned information would be too large to be conveniently displayed at a terminal, the process executes a truncation routine so that the returned data is easily displayed.|Search-on-the-fly with merge function|B2|23|0.0|1
10164|366843|5473912|8990700|utility|2015-03-24|Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for receiving a search query for ratable entities, identifying at least one ratable entity responsive to the search query, and sending a webpage to a client device, the webpage including instructions that cause the client device to display one of a plurality of interfaces of a rating card for the at least one ratable entity, including instructions to initially display a first interface having a first graphical user interface (GUI) element for receiving a rating input, and instructions to display a second interface having a second GUI element upon receiving input in the first GUI element of the first interface.|Rating and review interface|B2|14|0.0|0
2581|2462233|2899859|6405348|utility|2002-06-11|A method for static timing analysis of deep sub-micron devices in presence of crosstalk. The present invention provides an efficient platform for fast and accurate static timing verification of large scale transistor and cell level netlists, with coupled interconnects and high switching speeds. The present invention also provides a novel approach to solve the coupled noise problem in static timing verification. The present invention also provides for a method of determining worst case aggressor switching time for a cross-coupled interconnect stage. After the worst case aggressor switching time is determined, the netlist is then resimulated using the worst case aggressor switching time to determine more accuate stage delay and slew of the interconnect stage. The output waveform is recorded and utilized as the input of subsequent stages.|Deep sub-micron static timing analysis in the presence of crosstalk|B1|28|0.0|1
2679|3691589|4129215|7639612|utility|2009-12-29|An improved system and method of providing bandwidth on demand for an end user and/or enterprise is disclosed. The method includes: sending a request from the user to a control system for a quality of connection service for a specific time limit and either a specific bandwidth or a codec type, wherein the request also includes a source address and a destination address, optional service type and optional video and/or voice codec negotiation; and determining whether the request will be approved or denied, wherein if the request is approved, reserving resources for a transmission of information of the specified bandwidth for the specified time from the source address to the destination address.|System and method of providing bandwidth on demand|B2|13|0.0|1
2153|3950651|4388277|7899704|utility|2011-03-01|The present invention relates to facilitating retail transactions between registered members and selected merchants who fund rebates on the transactions between themselves and the registered members so that the rebates are accumulated and provided for funding an account. Account purchase transactions associated with merchants funding rebates are monitored to determine whether or not each transaction was consummated with a registered member using an eligible account. Rebates for qualifying purchases are calculated and the information needed to apply the earned rebates to a rebate account are generated.|Methods and systems for providing a merchant funded rebate program|B1|36|0.0|1
1059|4146640|4584266|8096471|utility|2012-01-17|The present invention is generally directed to a ballot marking device adapted to mark a ballot and either return the marked ballot to the voter or automatically deposit the marked ballot into a secure ballot box attached to the marking device. The device includes a presentation device operable to present to the voter a plurality of election choices and ballot handling choices, and an input device operable to receive from the voter at least one selection corresponding to the election choices and at least one instruction corresponding to the ballot handling choices. The device also includes a marking mechanism operable to record the received voter selection on the ballot, a transport mechanism operable to transport the ballot through the device, and a diverter operable to direct the ballot from the transport mechanism into the attached ballot box. An associated method is also disclosed.|Ballot marking device having attached ballot box|B2|20|0.0|1
4055|4162674|4600300|8112561|utility|2012-02-07|A hosting partition update mechanism allows updating I/O capability of a logically-partitioned computer system in a way that minimally affects the performance and availability of I/O in the computer system. When an update is needed, a new hosting partition is created with the desired update(s). I/O adapters in the current hosting partition are then migrated to the new hosting partition. The migration of an I/O adapter from the current hosting partition to the new hosting partition is relatively fast, thereby minimally impacting system performance and availability of I/O. Once all of the I/O adapters have been migrated to the new hosting partition, the current hosting partition may be kept as a backup, or may be eliminated. Providing a new or backup hosting partition allows updates to be performed in the new or backup hosting partition in a non-disruptive manner while the current hosting partition continues to service I/O requests.|Updating I/O capability of a logically-partitioned computer system|B2|33|0.0|0
3096|3181291|3618917|7126940|utility|2006-10-24|The object of the invention is a method, network element, and system for positioning a subscriber terminal in a packet-switched mobile telephone network, the said network comprising a core network element (SGSN, 504), base stations, a Base Station Controller (501) controlling these, and a mobile terminal; the connections in the mobile telephone network are arranged in a packet-switched fashion. The system comprises a location unit (SMLC, 505) for determining the position of the terminal, functionally connected with the Base Station Controller (501) of the mobile telephone network; the connection between the Base Station Controller (501) and the location unit (SMLC) is circuit-switched. The base station controller (501) comprises both circuit-switched (BSC) and packet-switched (PCU) functionality for processing circuit-switched, and respectively, packet-switched messages, as well as means (506, 507) for establishing an association between the circuit-switched and the packet-switched functionality for the transmission of data related to a specific positioning between the packet-switched and the circuit-switched functionality.|Positioning a subscriber terminal in a packet-switched mobile telephone network|B2|25|0.0|1
5622|3427290|3864916|7374070|utility|2008-05-20|A hanger for a bra has a body section in a shape of a female torso. The body section has a front surface having a neck and a pair of concave members located below the neck. The concave members being formed in a predetermined cup size for retaining a shape of a bra positioned on the body section. A container is formed on a bottom|Device for hanging and storing undergarments and method therefor|B2|6|0.0|0
33|2592246|3029872|6535815|utility|2003-03-18|A mobile terminal equipped with a GPS receiver uses a quality of service parameter to determine whether to request aiding data from a location server connected to the mobile communication network. When a request is received by the mobile terminal for its current position, the mobile terminal determines a desired quality of service. Based on the desired quality of service, the mobile terminal then determines whether aiding data currently stored in its memory is sufficient to meet the specified quality of service. If so, the mobile terminal computes its current location using aiding data currently stored in its memory. If not, the mobile terminal may request aiding data from the network or acquire current aiding data from a GPS satellite.|Position updating method for a mobile terminal equipped with a positioning receiver|B2|20|0.0|1
9392|705833|5812902|9331875|utility|2016-05-03|A communications system includes a transmitter for transmitting an optical signal including a plurality of data streams over an optical communications link. The transmitter includes first signal processing circuitry for processing each of the plurality of input data streams to generate a parallel pair of data streams including an in-phase stream (I) and a quadrature-phase stream (Q) for each of the plurality of input data streams. The first signal processing circuitry modulates a first and second parallel pair of data streams with a selected one of at least three mutually orthogonal functions at a first and second signal widths, respectively, to generate a plurality of first data sub-layers and a plurality of second data sub-layers and generates a plurality of composite data stream by overlaying the first data subs-layers with the second data sub-layers at a preconfigured overlay offset. Second signal processing circuitry places the plurality of composite data streams on a wavelength of the optical communications link. Each of the plurality of composite data streams having a different orbital angular momentum associated therewith to enable transmission of each of the plurality of composite data streams on the wavelength at a same time.|System and method for communication using orbital angular momentum with multiple layer overlay modulation|B2|30|0.0|0
4248|1240760|1678386|5173318|utility|1992-12-22| A method for aging a fermented product includes the steps of: (a) cooling the fermented product in a container; (b) introducing ozone in the cooled fermented product for oxidation; and (c) applying an ultrasonic vibration to the container to vibrate and heat the fermented product in step (b) for oxidizing the fermented product. An aging device for a fermented product includes: an aging tank for containing the fermented product, the aging tank having an inlet and an outlet for the fermented product; an ozone supplying unit having an inlet pipe and an outlet pipe which are connected to the aging tank; a cooling unit mounted to the aging tank; an ultrasonic vibration unit mounted to the aging tank; and a thermometer mounted on the aging tank to detect the temperature of the fermented product. A method for preparing a distilled liquor includes the steps of (a') distilling a fermented precursor; (b') chilling the distilled fermented precursor; and (c') aging the chilled fermented precursor by the aging method described above. |Method and apparatus for aging a distilled liquor|A|3|0.0|0
35|3723980|4161606|7672104|utility|2010-03-02|A current protection apparatus (200) and current protection method (1000) that may include programmable current protection characteristics has been disclosed. A current protection apparatus (200) may include a power distribution unit (230) with power distribution outlets (PDO-1 to PDO-8), each having a corresponding circuit breaker unit (CB1 to CB8). Each circuit breaker unit (CB1 to CB8) may operate in response to a processing unit (236) that can sample current values flowing between a respective power distribution outlet (PDO-1 to PDO-8) and a load device (LD1 to LD8). Processing unit 236 may operate under control of software stored on a memory (238) to control a switching circuit (320). Current protection characteristics for each circuit breaker unit may be independently programmed and/or altered by a user, for example by way of a computer (250). In this way, each power distribution outlet (PDO-1 to PDO-8) may have current rating characteristics independently provided for a particular load device (LD1 to LD8).|Current protection apparatus and method|B2|20|0.0|1
744|3941784|4379410|7890802|utility|2011-02-15|A computer implemented method for assisted and automated resolving of Information Technology (IT) incidents is provided. The method facilitates one or more users to define repair workflows to resolve the IT incidents. The defined repair workflows are stored in a flow repository. The stored repair workflows are accessed and invoked by the one or more users. The invoked repair workflows are interactively executed for a user assisted resolution of the IT incident. The invoked repair workflows are executed automatically for the automated resolution of the IT incident.|System and method for automated and assisted resolution of IT incidents|B2|17|0.0|1
6445|1576586|2014212|5511757|utility|1996-04-30| A platen for stacking wheeled articles examples of which are toy shopping carts and comprises a bottom wall and two side portions joined to opposite sides of the bottom wall. The side portions include an outer flange which extends upwardly from the bottom wall, and an inside flange depending from the outside flange which extends downwardly in spaced relation to the outside flange thereby forming a spacing therebetween. The inside flange includes spaced slots in the lowermost edge thereof. A toy shopping cart is received on the bottom wall with its wheels adjacent the side portions. The inner flanges of the side portions are folded over the wheels of the cart so that the wheels are received in the spacing between the inner and outer flanges. The spaced slots on the lower edge of the inner flange engage with the hubs of the wheels. The bottom wall includes spaced slots in a rear edge thereof which are operable for receiving the handle of a second shopping cart when the platen is received on top of the basket of a second shopping cart. |Platen for stacking wheeled articles|A|9|0.0|0
8299|263518|5370587|8886739|utility|2014-11-11|An electronic messaging system and method with reduced traceability. Separate displays are provided at a sending user device for separately entering via the user device message content of an electronic message and a recipient address corresponding to the message content such that the separate displays are not displayed via the user device at the same time. The message content and the recipient address are transmitted from the user device separately and the message content is not accessible by a user of the sending user device via the user device after a media component of the message content is transmitted from the device to a server computer.|Electronic message content and header restrictive send device handling system and method|B2|19|0.0|1
2479|3339763|3777389|7286158|utility|2007-10-23|A method and system for providing integrated remote monitoring services includes receiving and storing radio frequency identification (RFID) data from an RFID system at a remote facility of a subscriber. Video data is received from a video system at the facility and also stored. The subscriber is provided with access to the stored RFID and video data. The subscriber is also provided with access to and control of a video camera in the video system at the facility.|Method and system for providing integrated remote monitoring services|B1|23|0.0|1
790|2890834|3328460|6835451|utility|2004-12-28|Provided is a magnetic recording medium which has excellent electromagnetic characteristics in an MR head and which is suited to high-density digital recording, especially suited to reproduction in an MR head. The magnetic recording medium comprises a magnetic layer comprising a ferromagnetic powder and a binder on a nonmagnetic support. The magnetic layer has a residual magnetization &PHgr;r ranging from 5 to 50 mA, and ratio (Sdc/Sac) of average area Sdc of magnetic clusters under DC magnetized condition to average area Sac of magnetic clusters under AC erased condition ranges from 0.8 to 2.0.|Magnetic recording medium|B2|14|0.0|1
